-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  28.5656   Longitude 77.1035 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M      MERRA-2 Temperature at 2 Meters (C) 
PS       MERRA-2 Surface Pressure (kPa) 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,DOY,T2M,PS,WS2M
2023,1,12.87,99.3,1.05
2023,2,12.74,99.42,0.76
2023,3,10.34,99.48,1.5
2023,4,8.73,99.5,1.51
2023,5,9.46,99.63,1.3
2023,6,9.74,99.66,0.92
2023,7,10.34,99.45,1.69
2023,8,12.65,99.17,1.77
2023,9,13.52,99.27,1.26
2023,10,13.07,99.16,1.6
2023,11,14.32,98.7,1.46
2023,12,14.05,98.49,2.11
2023,13,15.57,98.57,1.69
2023,14,10.66,98.95,2.46
2023,15,7.51,98.85,2.09
2023,16,8.89,98.94,1.8
2023,17,8.99,98.98,1.88
2023,18,9.87,99.18,1.29
2023,19,11.58,99.14,1.02
2023,20,12.22,98.99,1.74
2023,21,13.8,98.93,0.84
2023,22,14.08,98.85,1.16
2023,23,15.44,98.76,1.25
2023,24,15.66,98.61,2.41
2023,25,14.58,98.81,1.07
2023,26,12.54,99.09,1.99
2023,27,10.91,99.1,2.28
2023,28,12.94,98.79,1.81
2023,29,13.55,98.68,1.67
2023,30,12.89,99.08,1.66
2023,31,13.69,99.16,2.4
2023,32,12.69,99.04,2.68
2023,33,14.09,98.92,2.66
2023,34,15.3,98.93,2.05
2023,35,16.42,98.66,2.38
2023,36,17.24,98.54,1.95
2023,37,18.8,98.47,1.59
2023,38,16.74,98.48,2.44
2023,39,16.03,98.7,2.02
2023,40,18.48,98.54,1.66
2023,41,18.96,98.38,1.46
2023,42,17.99,98.63,1.89
2023,43,14.15,99.03,2.52
2023,44,14.3,98.91,3.9
2023,45,16.83,98.85,2.66
2023,46,18.81,98.6,2.81
2023,47,19.44,98.76,1.55
2023,48,21.37,98.87,1.06
2023,49,21.75,98.79,1.27
2023,50,22.73,98.69,0.82
2023,51,22.8,98.4,1.56
2023,52,20.67,98.36,1.82
2023,53,19.96,98.56,1.42
2023,54,19.75,98.58,2.09
2023,55,20.32,98.75,1.7
2023,56,22.05,98.9,1.43
2023,57,23.06,99.03,1.06
2023,58,23.51,98.97,1.2
2023,59,22.61,98.98,1.13
2023,60,22.58,99.1,1.03
2023,61,22.76,99.16,1.66
2023,62,23.54,99.16,2.08
2023,63,22.65,99.19,1.91
2023,64,22.66,99.08,1.91
2023,65,22.85,98.86,2.07
2023,66,23.6,98.84,1.42
2023,67,24.51,98.94,0.69
2023,68,23.61,98.94,0.73
2023,69,23.77,98.84,1.48
2023,70,24.17,98.81,1.34
2023,71,25.65,98.74,1.32
2023,72,25.51,98.61,0.73
2023,73,25.44,98.32,1.42
2023,74,26.23,98.22,1.05
2023,75,24.92,98.31,2.18
2023,76,24.25,98.5,1.35
2023,77,21.95,98.42,1.48
2023,78,22.95,98.19,1.2
2023,79,19.76,98.07,0.74
2023,80,20.36,98.18,1.2
2023,81,21.95,98.36,1.35
2023,82,23.68,98.18,1.52
2023,83,24.27,98.16,1.89
2023,84,22.92,98.39,1.41
2023,85,23.19,98.45,2.19
2023,86,22.12,98.38,2.31
2023,87,23.41,98.32,1.91
2023,88,25.29,98.33,1.05
2023,89,25.04,98.14,1.98
2023,90,21.37,98.19,1.26
2023,91,22.47,98.23,1.54
2023,92,24.01,98.13,1.52
2023,93,25.8,97.96,1.09
2023,94,24.46,98.2,2.25
2023,95,24.52,98.31,1.96
2023,96,24.73,98.51,2.65
2023,97,24.78,98.7,2.89
2023,98,24.65,98.76,2.05
2023,99,26.02,98.69,1.62
2023,100,26.08,98.51,2.13
2023,101,27.77,98.45,2.34
2023,102,29.52,98.41,2.44
2023,103,29.0,98.25,1.98
2023,104,30.23,98.17,1.49
2023,105,31.59,98.09,1.1
2023,106,31.8,97.97,1.68
2023,107,32.22,97.97,1.7
2023,108,31.97,98.1,2.13
2023,109,30.65,97.85,2.13
2023,110,29.84,97.6,1.96
2023,111,28.4,97.68,1.53
2023,112,27.92,97.82,1.85
2023,113,25.97,98.03,2.38
2023,114,27.08,98.31,1.8
2023,115,27.65,98.42,1.84
2023,116,29.82,98.11,0.84
2023,117,29.84,98.03,1.58
2023,118,28.17,98.22,1.06
2023,119,26.86,98.09,2.13
2023,120,26.03,98.01,1.45
2023,121,24.0,98.06,2.25
2023,122,22.86,98.2,2.14
2023,123,24.26,98.3,1.23
2023,124,26.9,98.24,1.16
2023,125,27.73,98.09,1.59
2023,126,29.62,97.89,2.23
2023,127,31.2,97.77,1.74
2023,128,30.37,97.69,1.53
2023,129,28.82,97.97,2.85
2023,130,28.69,97.95,2.8
2023,131,30.86,97.98,1.42
2023,132,32.2,97.86,1.26
2023,133,32.94,97.77,1.6
2023,134,34.41,97.51,1.81
2023,135,34.06,97.47,2.93
2023,136,33.65,97.68,3.92
2023,137,34.62,97.8,2.55
2023,138,31.91,98.18,3.22
2023,139,31.68,97.97,3.73
2023,140,33.54,97.74,2.95
2023,141,35.16,97.74,2.49
2023,142,36.34,97.77,4.55
2023,143,37.22,97.74,3.9
2023,144,35.05,97.79,2.25
2023,145,33.37,97.78,1.57
2023,146,29.29,97.9,2.02
2023,147,29.97,97.87,2.42
2023,148,29.65,97.99,1.8
2023,149,29.58,98.12,1.55
2023,150,29.8,98.15,1.59
2023,151,26.93,98.04,3.03
2023,152,28.83,97.97,2.32
2023,153,29.41,97.89,2.83
2023,154,30.31,97.9,2.69
2023,155,28.32,97.88,1.46
2023,156,32.15,97.7,2.54
2023,157,32.86,97.67,1.45
2023,158,32.98,97.65,1.73
2023,159,33.55,97.61,2.81
2023,160,35.05,97.33,2.48
2023,161,35.33,97.21,3.07
2023,162,35.06,97.22,3.37
2023,163,35.79,97.16,3.45
2023,164,36.97,97.17,4.94
2023,165,36.38,97.25,5.44
2023,166,35.05,97.39,4.48
2023,167,34.74,97.38,2.28
2023,168,33.7,97.4,2.43
2023,169,33.1,97.32,2.48
2023,170,32.75,97.22,3.16
2023,171,33.94,97.26,2.26
2023,172,34.24,97.36,1.75
2023,173,34.46,97.37,2.57
2023,174,35.36,97.33,1.72
2023,175,33.77,97.28,1.8
2023,176,30.96,97.39,2.12
2023,177,31.54,97.45,1.95
2023,178,31.76,97.36,1.39
2023,179,32.15,97.48,2.64
2023,180,31.11,97.4,2.8
2023,181,30.51,97.25,2.07
2023,182,31.27,97.36,1.8
2023,183,32.9,97.38,1.82
2023,184,34.47,97.32,1.44
2023,185,34.45,97.17,2.02
2023,186,32.49,97.14,2.41
2023,187,30.01,97.4,2.51
2023,188,30.41,97.49,2.09
2023,189,30.11,97.43,2.77
2023,190,29.87,97.43,1.46
2023,191,29.97,97.4,1.21
2023,192,30.37,97.44,1.06
2023,193,30.3,97.38,0.83
2023,194,30.27,97.39,1.22
2023,195,29.29,97.53,1.14
2023,196,29.37,97.5,1.55
2023,197,29.9,97.46,1.26
2023,198,30.56,97.36,0.91
2023,199,29.66,97.32,1.88
2023,200,29.51,97.35,2.45
2023,201,31.48,97.33,1.47
2023,202,31.34,97.5,1.92
2023,203,30.47,97.72,3.14
2023,204,29.88,97.71,2.87
2023,205,30.69,97.49,2.56
2023,206,30.23,97.51,1.43
2023,207,30.29,97.67,1.35
2023,208,29.08,97.59,1.19
2023,209,29.4,97.37,0.73
2023,210,29.73,97.3,1.21
2023,211,29.73,97.22,1.81
2023,212,30.23,97.17,1.74
2023,213,30.76,97.11,2.14
2023,214,30.78,97.18,2.06
2023,215,30.41,97.21,1.55
2023,216,30.15,97.39,1.48
2023,217,29.08,97.55,1.98
2023,218,30.02,97.26,2.96
2023,219,29.66,97.04,3.34
2023,220,29.65,97.18,3.41
2023,221,30.01,97.53,2.7
2023,222,30.03,97.7,1.88
2023,223,30.33,97.7,1.74
2023,224,29.95,97.49,2.81
2023,225,30.11,97.28,2.81
2023,226,28.48,97.65,2.23
2023,227,29.77,97.69,1.05
2023,228,30.44,97.71,1.95
2023,229,31.03,97.65,2.5
2023,230,31.01,97.65,2.07
2023,231,30.2,97.65,1.56
2023,232,31.12,97.66,1.69
2023,233,31.63,97.58,1.09
2023,234,31.29,97.39,1.78
2023,235,29.39,97.32,2.4
2023,236,29.26,97.24,2.27
2023,237,29.6,97.28,2.53
2023,238,29.77,97.46,2.65
2023,239,29.81,97.46,2.73
