-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  -17.7532   Longitude 177.4509 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 98.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M      MERRA-2 Temperature at 2 Meters (C) 
PS       MERRA-2 Surface Pressure (kPa) 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,DOY,T2M,PS,WS2M
2023,1,27.15,99.74,5.09
2023,2,27.48,99.65,4.66
2023,3,26.9,99.75,6.02
2023,4,27.15,99.77,5.66
2023,5,26.76,99.76,4.37
2023,6,26.7,99.8,5.05
2023,7,27.51,99.84,3.16
2023,8,27.81,99.88,3.52
2023,9,27.44,99.75,4.45
2023,10,27.8,99.56,6.48
2023,11,27.64,99.75,6.16
2023,12,26.5,99.82,5.21
2023,13,26.52,99.72,2.12
2023,14,27.06,99.68,2.19
2023,15,26.88,99.77,3.22
2023,16,26.58,99.79,3.24
2023,17,26.58,99.7,3.2
2023,18,26.72,99.59,1.71
2023,19,26.95,99.53,5.91
2023,20,27.21,99.76,4.67
2023,21,27.55,99.79,3.81
2023,22,27.9,99.84,3.79
2023,23,27.81,99.93,2.34
2023,24,27.58,99.89,3.48
2023,25,27.8,99.91,4.43
2023,26,27.74,99.87,3.68
2023,27,27.64,99.75,2.69
2023,28,28.12,99.66,1.86
2023,29,28.3,99.8,1.95
2023,30,27.63,99.7,2.91
2023,31,27.33,99.7,4.02
2023,32,28.04,99.59,1.45
2023,33,27.88,99.44,3.74
2023,34,27.14,99.44,3.88
2023,35,27.41,99.76,5.73
2023,36,27.73,99.85,3.27
2023,37,27.21,99.72,4.56
2023,38,26.36,99.66,4.49
2023,39,26.44,99.72,4.05
2023,40,27.17,99.76,3.23
2023,41,27.41,99.73,2.6
2023,42,28.05,99.61,3.15
2023,43,27.84,99.51,5.09
2023,44,27.44,99.49,5.77
2023,45,27.33,99.46,6.45
2023,46,26.9,99.58,2.4
2023,47,26.82,99.66,2.56
2023,48,26.5,99.6,3.83
2023,49,27.09,99.68,6.8
2023,50,27.14,99.91,4.06
2023,51,26.87,100.02,3.17
2023,52,27.76,99.71,0.85
2023,53,27.52,99.45,3.14
2023,54,27.73,99.45,3.73
2023,55,27.97,99.48,4.77
2023,56,28.42,99.48,6.02
2023,57,28.35,99.6,8.19
2023,58,28.3,99.7,5.97
2023,59,28.23,99.72,5.23
2023,60,27.96,99.67,5.23
2023,61,28.27,99.64,5.87
2023,62,28.05,99.62,5.44
2023,63,28.17,99.41,7.84
2023,64,27.9,99.44,9.73
2023,65,26.85,99.69,7.39
2023,66,26.4,99.87,3.3
2023,67,26.26,99.87,5.02
2023,68,26.2,99.93,6.16
2023,69,26.18,99.98,5.36
2023,70,26.83,99.89,3.91
2023,71,26.89,99.78,4.61
2023,72,27.39,99.88,3.15
2023,73,27.1,99.98,3.05
2023,74,26.99,99.95,1.88
2023,75,27.86,99.92,4.07
2023,76,27.76,100.04,3.47
2023,77,27.32,100.09,3.1
2023,78,27.05,99.98,2.35
2023,79,26.48,99.89,2.07
2023,80,26.4,99.86,3.23
2023,81,26.9,99.87,3.8
2023,82,26.86,99.96,3.35
2023,83,26.65,99.94,2.04
2023,84,26.64,100.0,3.0
2023,85,27.69,99.87,3.25
2023,86,27.76,99.81,1.37
2023,87,27.69,99.77,2.55
2023,88,27.45,99.69,2.03
2023,89,27.69,99.76,1.55
2023,90,28.01,99.9,2.1
2023,91,27.8,99.86,3.02
2023,92,28.03,99.89,3.61
2023,93,27.5,100.01,3.68
2023,94,27.4,100.01,4.32
2023,95,26.99,99.91,3.66
2023,96,27.17,99.79,3.08
2023,97,27.51,99.86,3.95
2023,98,27.54,100.08,3.0
2023,99,28.08,100.15,2.95
2023,100,27.89,100.1,3.87
2023,101,27.8,100.1,4.21
2023,102,27.65,100.06,3.1
2023,103,27.51,99.99,3.83
2023,104,27.22,99.95,4.62
2023,105,27.52,99.85,4.31
2023,106,27.3,99.92,3.03
2023,107,26.98,100.01,2.48
2023,108,26.12,99.99,3.47
2023,109,26.7,99.81,3.02
2023,110,27.77,99.81,3.55
2023,111,27.43,99.89,5.11
2023,112,26.89,100.01,5.57
2023,113,26.88,100.01,4.15
2023,114,26.91,99.83,2.62
2023,115,26.9,99.81,2.09
2023,116,26.81,99.95,4.16
2023,117,26.73,100.01,3.95
2023,118,26.93,99.84,4.0
2023,119,27.66,99.91,1.85
2023,120,27.78,100.11,3.02
2023,121,27.75,100.23,5.4
2023,122,27.15,100.34,6.35
2023,123,26.38,100.12,7.82
2023,124,26.71,99.88,6.63
